,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
81,Metro,16,ID,1627418942,86,-5.1131,105.3067,69.4,4.88
82,Coquimbo,0,CL,1627418372,76,-29.9533,-71.3436,56.93,12.66
83,Sinnamary,13,GF,1627418943,75,5.3833,-52.95,81.39,9.69
84,Athabasca,0,CA,1627418943,18,54.7169,-113.2854,75.02,15.59
85,Clyde River,75,CA,1627418387,71,70.4692,-68.5914,53.83,6.91
86,Obrenovac,9,RS,1627418944,42,44.6549,20.2002,86.23,2.62
87,Abū Zabad,99,SD,1627418944,80,12.35,29.25,75.94,8.95
88,Grand Gaube,62,MU,1627418945,90,-20.0064,57.6608,68.4,5.01
89,Sampit,100,ID,1627418945,94,-2.5333,112.95,74.07,2.82
90,Kapaa,75,US,1627418673,76,22.0752,-159.319,84.52,1.99
91,Kloulklubed,90,PW,1627418359,75,7.0419,134.2556,81.1,12.46
92,Port-Cartier,95,CA,1627418461,73,50.0334,-66.8654,70.02,12.84
93,Kiryat Gat,0,IL,1627418946,73,31.61,34.7642,81.28,2.64
94,Saint-Pierre,75,RE,1627418415,83,-21.3393,55.4781,69.44,14.97
95,Bluff,16,NZ,1627418946,70,-46.6,168.3333,48.79,15.82
96,Kavaratti,100,IN,1627418846,78,10.5669,72.642,81.72,19.53
97,Hithadhoo,95,MV,1627418370,77,-0.6,73.0833,81.03,7.85
98,Paramonga,30,PE,1627418947,79,-10.6667,-77.8333,66.7,9.86
99,Comodoro Rivadavia,0,AR,1627418413,57,-45.8667,-67.5,49.86,5.75
100,San Patricio,86,US,1627418350,41,28.017,-97.5169,95.72,10.96
101,Arrondissement de Toul,0,FR,1627418848,88,48.6667,5.9167,63.41,9.22
102,Berlevåg,90,NO,1627418948,93,70.8578,29.0864,46.2,4.61
103,Arraial do Cabo,0,BR,1627418379,69,-22.9661,-42.0278,87.76,6.91
104,Chui,15,UY,1627418359,64,-33.6971,-53.4616,44.65,15.99
105,Griffith,1,US,1627418948,60,41.5284,-87.4237,90.09,1.01
106,Mandera,100,KE,1627418949,55,3.9366,41.867,79.61,21.63
107,Umluj,72,SA,1627418949,60,25.0213,37.2685,88.56,8.01
108,Manuk Mangkaw,94,PH,1627418949,80,4.8,119.85,83.97,16.71
109,Saint Paul Harbor,1,US,1627418381,63,57.79,-152.4072,60.31,6.91
110,Nikolskoye,86,RU,1627418375,59,59.7035,30.7861,71.49,4.65
111,Tabuk,100,PH,1627418950,86,17.4189,121.4443,76.69,1.28
112,Forsytheganj,100,BY,1627418366,94,52.6333,29.7333,65.14,5.79
113,Atuona,16,PF,1627418951,73,-9.8,-139.0333,77.27,18.59
114,Bama,100,NG,1627418951,91,11.5221,13.6856,72.75,6.53
115,Mungwi,70,ZM,1627418952,63,-10.1732,31.3694,51.64,5.66
116,Sitka,75,US,1627418682,82,57.0531,-135.33,58.89,8.05
117,Darhan,5,MN,1627418471,82,49.4867,105.9228,60.1,1.41
118,Belyy Yar,0,RU,1627418953,72,53.6039,91.3903,62.49,13.42
119,Sirte,0,LY,1627418439,68,31.2089,16.5887,79.75,13.27
120,Farakka,100,IN,1627418953,84,24.8167,87.9,82.92,1.52
121,Athens,0,GR,1627418953,26,37.9795,23.7162,88.23,5.01
122,Codrington,49,AU,1627418377,82,-38.2667,141.9667,49.35,20.6
123,Kaohsiung City,75,TW,1627418954,96,22.6163,120.3133,81.09,5.99
124,Vizinga,100,RU,1627418954,73,61.0749,50.1031,50.5,8.28
125,Marovoay,34,MG,1627418955,57,-16.1,46.6333,71.74,4.79
126,Imaculada,60,BR,1627418955,48,-7.3897,-37.5092,77.23,9.84
127,Itatskiy,1,RU,1627418421,94,56.07,89.0369,49.14,1.41
128,São João da Barra,2,BR,1627418460,85,-21.6403,-41.0511,77.09,18.99
129,Monetnyy,12,RU,1627418956,86,57.0472,60.8794,53.02,5.14
